card_id,chapter,chapter_number,number_in_chapter,combination,igbo_meanings,english_meanings
AFA-001,Chapter 1: Agali (Aghali),1,1,Aghali Aka,Ihe na-agba agba di ka akpi | Agbisi,Something that stings like and ant or scorpion
AFA-002,Chapter 1: Agali (Aghali),1,2,Aghali Akwu,Okuke | Ite | Okuku,Consecrated calabash | Earthen pot
AFA-003,Chapter 1: Agali (Aghali),1,3,Aghali Naabo,Ato | Ito | Ikenga | Mba | Ino Olu | Agwu,Ato Goddess (Nne Agwu/Nne Atu) | Ikenga deity | Victory | Aries | Mars | Fulfillment
AFA-004,Chapter 1: Agali (Aghali),1,4,Aghali Atulukpa,Ihe a na-ewero ihe | Ihe di obere | Oboloto,Something insignificant | Something very small | Something minor | Oboloto plant (regarded as the smallest seed of creation) | Seed star
AFA-005,Chapter 1: Agali (Aghali),1,5,Aghali Ete,Mbokili | Ekweekwe | Onye na emesi ike | Obo,Non-compromising | Doubting person | Stubborn person | Pained vengeance
AFA-006,Chapter 1: Agali (Aghali),1,6,Aghali Ijite or Aghali Ogwute,Irado ihe dika alo | Okili,Installing something | Showing strong backing for something
AFA-007,Chapter 1: Agali (Aghali),1,7,Aghali Obara,Ndi echichi,Titled person
AFA-008,Chapter 1: Agali (Aghali),1,8,Aghali Ora,Nseke,Trouble | Sickness | Problem
AFA-009,Chapter 1: Agali (Aghali),1,9,Aghali Okara,Nwata nwoke,Male child
AFA-010,Chapter 1: Agali (Aghali),1,10,Aghali Ose,Ifere | Ife Ifere,Shame | Shameful thing
AFA-011,Chapter 1: Agali (Aghali),1,11,Aghali Obi,Ire ana ere | Oria,Retrogression | Illness
AFA-012,Chapter 1: Agali (Aghali),1,12,Aghali Odi,Chukwu Okike | Ikem | Ivite | Adama | Ogbalaike/Ogbalike,The Supreme Creator | Ikem (town) | Last or third child | The root of humanity | Most ancient human beings | Strong Spear
AFA-013,Chapter 1: Agali (Aghali),1,13,Aghali Ofu,Ego | Okike Chukwu,Money | Material wealth | Recreation
AFA-014,Chapter 1: Agali (Aghali),1,14,Aghali Ogheli,Umuaka,Children
AFA-015,Chapter 1: Agali (Aghali),1,15,Aghali Otule,Ikpo uzu onu | Ndi uzu | Ona | Oka | Okwu a na ekwu n'onu,Rekindling fire with mouth | The precious metal | Blacksmiths | Awka town | Oral speech
AFA-016,Chapter 1: Agali (Aghali),1,16,Aghali Ululu,Ihe a juju aju | Amu | Ochi,Rejected thing | Laughter
AFA-017,Chapter 2: Aka,2,1,Aka Naabo,Igbanje | Ogbanje | Oso | Ndi njem | Ndi ogbanje,To go on a journey | Spirit on a mission | Run | Traveling spirits | Ogbanje spirits
AFA-018,Chapter 2: Aka,2,2,Aka Akwu,Ndi Ushi Aka | Ndi Mbu | Ndichie,First Ancestors who arrived before death | Ascended Ancestors
AFA-019,Chapter 2: Aka,2,3,Aka Aghali,Anu | Uga Azi | Umu Azi,Meat | Wild animal | Uga Azi world age | Corrupted mind(s)
AFA-020,Chapter 2: Aka,2,4,Aka Atulukpa,Oji | Nkwado | Ikwusike,Iroko | Support | Standing firm
AFA-021,Chapter 2: Aka,2,5,Aka Ete,Aro Abagana | Obi Mbu | Azu | Iyi | Mmili bu Ndu Azu | Orimiri / Oshimmiri / Ishimmiri | Idemmili | Egbe,Mother of the Sun | The first star | First vibrating light | Fish | River | Water Energy | Idemmili Goddess | Virgo | Aquarius | Kite
AFA-022,Chapter 2: Aka,2,6,Aka Ijite or Aka Ogwute,Ala | Ani | Ana | Ndi ana,Land | Earth | Land spirits
AFA-023,Chapter 2: Aka,2,7,Aka Obara,Udara | Odu | Ndi chizuru echizu | Ndi 'Umuodu' na 'Ikiti',Udara fruit | Titled person | People named 'Umuodu' and 'Ikiti'
AFA-024,Chapter 2: Aka,2,8,Aka Ora,Chi | Ulo | Ezumike | Chukwu | Mgba Aho | Aho/Aro | Eze Udene | Udene Agwu,Chi | House | Abode | Resting place | God | Source (Ancient Sun) | Aho’s Circle | Twelve Months | Agwu’s totem
AFA-025,Chapter 2: Aka,2,9,Aka Okara,Ihe ajuru ahu | Osu | Ohu,Questionable thing | Something publicly rejected | Shrine devotee | Chosen one | Slave
